City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Yellowknife,CA,62.46,-114.35,38.41,100,90,8.01,light rain
152,Kavaratti,IN,10.57,72.64,82.44,80,99,13.31,overcast clouds
153,Esna,EG,25.29,32.55,93.22,18,0,7.23,clear sky
154,Maniitsoq,GL,65.42,-52.90,37.04,72,100,9.17,overcast clouds
155,Thyolo,MW,-16.07,35.14,68.2,71,0,15.75,clear sky
156,Praia Da Vitoria,PT,38.73,-27.07,72.75,94,75,16.93,broken clouds
157,Chapais,CA,49.78,-74.85,58.78,91,100,8.39,overcast clouds
158,Mar Del Plata,AR,-38.00,-57.56,62.62,27,20,13.0,few clouds
159,Puerto Quijarro,BO,-17.78,-57.77,100.85,31,45,7.14,scattered clouds
160,Qaanaaq,GL,77.48,-69.36,30.15,91,100,8.66,overcast clouds
161,Lososina,RU,49.00,140.31,47.95,65,99,14.36,light rain
162,Bairiki,KI,1.33,172.98,78.8,83,20,4.61,few clouds
163,Merauke,ID,-8.47,140.33,77.25,84,100,11.1,overcast clouds
164,Katherine,AU,-14.47,132.27,84.52,58,100,6.91,overcast clouds
165,Bontang,ID,0.13,117.50,79.18,86,100,7.54,overcast clouds
166,Malumfashi,NG,11.79,7.62,78.71,30,58,6.51,broken clouds
167,Severomorsk,RU,69.07,33.42,43.2,94,100,1.14,overcast clouds
168,Biggar,GB,55.62,-3.52,51.1,88,100,11.68,overcast clouds
169,Ancud,CL,-41.87,-73.82,56.43,76,100,8.32,overcast clouds
170,Talnakh,RU,69.49,88.40,21.83,95,95,5.91,overcast clouds
171,Ribeira Grande,PT,38.52,-28.70,72.0,88,75,13.8,broken clouds
172,Ruidoso,US,33.33,-105.67,60.66,48,19,26.17,few clouds
173,Severo-Kurilsk,RU,50.68,156.12,46.85,93,100,26.71,moderate rain
174,Lincoln,US,40.80,-96.67,69.91,65,1,1.01,clear sky
175,Road Town,VG,18.42,-64.62,84.24,79,40,11.5,scattered clouds
176,Arman,RU,59.70,150.17,28.26,62,0,7.67,clear sky
177,Pakruojis,LT,55.97,23.87,43.59,73,0,7.7,clear sky
178,Antsohihy,MG,-14.88,47.99,75.94,63,24,3.18,few clouds
179,Tiksi,RU,71.69,128.87,27.73,92,100,4.41,overcast clouds
180,Saint George,US,37.10,-113.58,69.64,36,1,1.99,clear sky
181,Vila Velha,BR,-20.33,-40.29,69.75,94,75,6.91,light rain
182,Yar-Sale,RU,66.83,70.83,28.4,76,43,10.31,scattered clouds
183,Ilulissat,GL,69.22,-51.10,33.82,75,20,3.44,light shower snow
184,Kahului,US,20.89,-156.47,77.02,83,40,8.05,light rain
185,Maravilha,BR,-26.76,-53.17,73.81,85,100,6.76,overcast clouds
186,Ambulu,ID,-8.35,113.61,74.97,84,83,2.57,broken clouds
187,Horasan,TR,40.05,42.17,53.71,41,0,2.93,clear sky
188,Willmar,US,45.12,-95.04,62.4,72,1,14.97,clear sky
189,Lermontovka,RU,47.15,134.34,44.82,72,100,15.3,overcast clouds
190,Estelle,US,29.85,-90.11,88.0,61,40,10.36,scattered clouds
191,Aswan,EG,24.09,32.91,99.7,18,0,12.66,clear sky
192,Hualmay,PE,-11.10,-77.61,68.95,74,30,10.27,scattered clouds
193,Qasigiannguit,GL,68.82,-51.19,34.05,79,100,2.19,overcast clouds
194,Ereymentau,KZ,51.62,73.10,37.98,95,100,7.45,light rain
195,Chivay,PE,-15.64,-71.60,65.64,34,80,9.04,broken clouds
196,Jieshi,CN,22.81,115.83,81.95,78,27,7.25,scattered clouds
197,Poum,NC,-20.23,164.02,73.15,66,5,21.83,clear sky
198,Caorle,IT,45.60,12.88,57.22,68,85,5.82,overcast clouds
199,Karratha,AU,-20.74,116.85,73.35,41,15,5.46,few clouds
200,Guerrero Negro,MX,27.98,-114.06,78.87,44,0,8.1,clear sky
201,Obera,AR,-27.49,-55.12,72.0,92,37,3.11,scattered clouds
202,Darhan,MN,49.49,105.92,37.99,55,6,5.84,clear sky
203,Kijabe,KE,-0.93,36.58,63.3,86,45,10.0,scattered clouds
204,Ulladulla,AU,-35.35,150.47,47.3,85,100,9.66,overcast clouds
205,Lata,PT,40.16,-8.33,70.03,47,18,4.38,few clouds
206,Sitka,US,57.05,-135.33,46.29,76,75,8.05,broken clouds
207,Bilibino,RU,68.05,166.44,-1.91,100,93,3.22,overcast clouds
208,Yarada,IN,17.65,83.27,82.72,89,40,3.44,mist
209,Kaseda,JP,31.42,130.32,77.85,88,5,9.62,clear sky
210,Korla,CN,41.76,86.15,48.51,40,100,3.02,overcast clouds
211,Salalah,OM,17.02,54.09,80.69,83,75,5.75,broken clouds
212,Papara,BR,-3.98,-38.73,84.6,53,24,10.76,few clouds
213,Daru,PG,-9.08,143.21,78.04,81,100,11.14,overcast clouds
214,Moose Factory,CA,51.26,-80.61,69.8,73,20,9.22,few clouds
215,Haines Junction,CA,60.75,-137.51,30.15,86,32,2.3,scattered clouds
216,Yacuiba,BO,-22.04,-63.68,73.71,62,97,4.59,overcast clouds
217,Pisco,PE,-13.70,-76.22,67.01,72,0,9.22,clear sky
218,Mucuri,BR,-18.09,-39.55,73.09,87,98,11.41,overcast clouds
219,Takanabe,JP,32.13,131.50,75.02,91,75,2.35,moderate rain
220,Castro,BR,-24.79,-50.01,59.04,90,100,11.68,overcast clouds
221,College,US,64.86,-147.80,35.58,95,90,5.75,fog
222,Port Moresby,PG,-9.44,147.18,74.62,100,75,3.44,broken clouds
223,Atar,MR,20.52,-13.05,100.45,15,0,6.91,clear sky
224,Berlevag,NO,70.86,29.09,40.95,87,75,4.61,broken clouds
225,Luderitz,NA,-26.65,15.16,70.48,42,17,4.7,few clouds
226,Seymchan,RU,62.88,152.43,18.18,69,14,4.85,few clouds
227,Mecca,SA,21.43,39.83,87.85,47,1,5.08,clear sky
228,Los Llanos De Aridane,ES,28.66,-17.92,69.55,80,20,14.97,volcanic ash
229,Kampene,CD,-3.60,26.67,66.61,95,100,3.89,overcast clouds
230,Muros,ES,42.78,-9.06,69.1,51,0,13.38,clear sky
231,Barzas,RU,55.72,86.32,41.23,99,100,4.85,light rain
232,Nongstoin,IN,25.52,91.27,64.09,96,19,4.54,few clouds
233,Georgetown,MY,5.41,100.34,81.9,91,20,1.99,few clouds
234,Ulaangom,MN,49.98,92.07,33.13,66,4,1.86,clear sky
235,Ponta Do Sol,PT,32.67,-17.10,74.03,69,23,4.65,few clouds
236,Noumea,NC,-22.28,166.46,60.78,71,0,8.72,clear sky
237,Alice Springs,AU,-23.70,133.88,56.75,94,90,9.22,overcast clouds
238,Tautira,PF,-17.73,-149.15,80.62,75,57,9.1,broken clouds
239,Del Rio,US,29.36,-100.90,89.71,56,1,18.41,clear sky
240,Khash,IR,28.22,61.22,58.05,27,0,6.44,clear sky
241,Narsaq,GL,60.92,-46.05,37.62,47,55,0.76,broken clouds
242,Carandai,BR,-20.95,-43.81,59.04,96,100,6.17,overcast clouds
243,Buraydah,SA,26.33,43.97,88.25,14,0,8.99,clear sky
244,Ahipara,NZ,-35.17,173.17,54.64,74,69,3.4,broken clouds
245,Calama,CL,-22.47,-68.93,77.49,11,0,20.71,clear sky
246,Rocha,UY,-34.48,-54.33,60.91,75,100,13.04,overcast clouds
247,Boone,US,39.03,-92.33,83.03,64,2,1.99,clear sky
248,Darnah,LY,32.77,22.64,76.08,64,0,10.33,clear sky
249,Igrim,RU,63.19,64.42,29.14,62,3,4.36,clear sky
250,Bichena,ET,10.45,38.20,54.66,85,79,3.76,light rain
251,Guaraniacu,BR,-25.10,-52.88,65.95,74,70,6.15,broken clouds
252,Tamandare,BR,-8.76,-35.10,80.83,67,26,8.57,scattered clouds
253,Sisimiut,GL,66.94,-53.67,36.32,70,100,5.84,overcast clouds
254,Bogorodskoye,RU,56.55,37.88,42.19,71,22,6.08,few clouds
255,Laguna,US,38.42,-121.42,75.24,47,1,1.01,clear sky
256,Lagoa,PT,39.05,-27.98,71.31,85,100,23.78,overcast clouds
257,Kawalu,ID,-7.38,108.21,70.65,97,55,0.38,broken clouds
258,Mino,JP,34.83,135.47,74.43,82,0,2.82,clear sky
259,Terra Santa,BR,-2.10,-56.49,96.49,35,100,4.32,overcast clouds
260,Aklavik,CA,68.22,-135.01,28.4,86,75,6.91,light snow
261,Mennecy,FR,48.57,2.44,57.65,76,0,5.75,clear sky
262,Staroye Drozhzhanoye,RU,54.73,47.57,45.36,73,100,5.35,overcast clouds
263,Udachnyy,RU,66.42,112.40,24.06,92,100,18.84,light snow
264,Lichinga,MZ,-13.31,35.24,72.05,37,100,4.36,overcast clouds
265,Itaituba,BR,-4.28,-55.98,95.16,59,20,9.22,few clouds
266,Brownsville,US,25.90,-97.50,93.31,63,40,11.99,scattered clouds
267,Ginir,ET,7.13,40.70,62.4,78,100,3.15,overcast clouds
268,Moanda,GA,-1.56,13.22,80.83,96,100,2.42,light rain
269,Takaungu,KE,-3.68,39.86,80.69,89,10,12.62,clear sky
270,Samarai,PG,-10.62,150.67,78.73,79,100,9.84,overcast clouds
271,Port Blair,IN,11.67,92.75,80.94,85,100,16.82,overcast clouds
272,Isiro,CD,2.77,27.62,68.99,99,100,1.99,light rain
273,Pimenta Bueno,BR,-11.67,-61.19,96.6,34,47,5.59,scattered clouds
274,Kudahuvadhoo,MV,2.67,72.89,83.55,74,100,13.87,overcast clouds
275,Lanxi,CN,29.22,119.48,71.04,92,100,6.69,overcast clouds
