City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Port Elizabeth,ZA,2021-10-01 22:37:33,-33.918,25.5701,60.1,89,32,8.57
130,Capinzal,BR,2021-10-01 22:41:06,-27.3436,-51.6119,63.72,91,100,0.2
131,East London,ZA,2021-10-01 22:37:15,-33.0153,27.9116,63.03,83,99,12.71
132,Pacifica,US,2021-10-01 22:41:07,37.6138,-122.4869,93.74,39,1,14.97
133,Batagay-Alyta,RU,2021-10-01 22:41:07,67.8006,130.4114,21.72,68,5,3.89
134,Katobu,ID,2021-10-01 22:41:07,-4.9408,122.5276,77.85,85,96,1.41
135,Caravelas,BR,2021-10-01 22:41:08,-17.7125,-39.2481,74.91,77,0,9.51
136,Ewa Beach,US,2021-10-01 22:38:03,21.3156,-158.0072,89.55,49,1,11.5
137,Shieli,KZ,2021-10-01 22:41:08,44.1667,66.75,43.11,50,1,8.52
138,Tsiroanomandidy,MG,2021-10-01 22:41:09,-18.7667,46.0333,66.31,54,20,2.84
139,Lavrentiya,RU,2021-10-01 22:41:09,65.5833,-171.0,29.16,71,42,14.43
140,Kombissiri,BF,2021-10-01 22:41:09,12.0656,-1.3375,80.58,67,74,7.25
141,Victoria,HK,2021-10-01 22:36:55,22.2855,114.1577,84.33,84,43,1.01
142,Icatu,BR,2021-10-01 22:41:10,-2.7758,-44.0658,82.83,86,42,8.68
143,Khatanga,RU,2021-10-01 22:41:10,71.9667,102.5,27.05,94,100,2.06
144,Talnakh,RU,2021-10-01 22:41:11,69.4865,88.3972,21.58,93,85,2.35
145,Colares,PT,2021-10-01 22:41:11,38.7992,-9.4469,67.28,81,20,8.99
146,Te Anau,NZ,2021-10-01 22:41:12,-45.4167,167.7167,53.76,65,100,2.64
147,Hilo,US,2021-10-01 22:40:38,19.7297,-155.09,84.27,69,1,8.05
148,Tiksi,RU,2021-10-01 22:41:12,71.6872,128.8694,27.84,85,89,4.99
149,Chuy,UY,2021-10-01 22:41:13,-33.6971,-53.4616,53.19,86,2,7.56
150,Urupes,BR,2021-10-01 22:41:13,-21.2017,-49.29,74.79,69,54,14.65
151,Nioki,CD,2021-10-01 22:41:13,-2.7167,17.6833,73.13,86,26,3.33
152,Gazanjyk,TM,2021-10-01 22:41:14,39.2446,55.5154,55.98,28,0,18.66
153,Zhaotong,CN,2021-10-01 22:41:14,27.3167,103.7167,58.48,94,21,2.28
154,Mar Del Plata,AR,2021-10-01 22:41:15,-38.0023,-57.5575,55.42,49,0,3.0
155,Innisfail,AU,2021-10-01 22:41:15,-17.5333,146.0333,79.75,68,26,1.86
156,Swan River,CA,2021-10-01 22:41:15,52.1058,-101.2676,75.09,17,0,10.36
157,Castellarano,IT,2021-10-01 22:41:16,44.5131,10.7329,65.23,84,12,3.15
158,Souillac,MU,2021-10-01 22:41:16,-20.5167,57.5167,72.36,78,75,11.5
159,Sainte-Marie,RE,2021-10-01 22:41:17,-20.8968,55.5496,69.93,73,0,11.5
160,Mushie,CD,2021-10-01 22:41:17,-3.0167,16.9,76.95,80,97,4.7
161,Shimanovsk,RU,2021-10-01 22:41:18,52.0,127.7,34.95,65,8,4.74
162,Kashi,CN,2021-10-01 22:41:18,39.4547,75.9797,72.61,17,0,13.42
163,Kaeo,NZ,2021-10-01 22:41:19,-35.1,173.7833,60.8,55,3,5.23
164,Oranjestad,AW,2021-10-01 22:41:19,12.524,-70.027,84.15,82,20,1.99
165,Cururupu,BR,2021-10-01 22:41:19,-1.8283,-44.8683,75.52,90,32,3.53
166,Cidreira,BR,2021-10-01 22:41:20,-30.1811,-50.2056,66.06,89,100,10.74
167,Okhotsk,RU,2021-10-01 22:41:20,59.3833,143.3,35.65,88,46,1.79
168,Yelizavetinskoye,RU,2021-10-01 22:41:21,45.0072,43.3494,47.43,88,100,16.17
169,Lompoc,US,2021-10-01 22:41:21,34.6391,-120.4579,91.54,62,1,14.97
170,Iqaluit,CA,2021-10-01 22:41:22,63.7506,-68.5145,31.73,86,20,2.3
171,Nanortalik,GL,2021-10-01 22:41:22,60.1432,-45.2371,38.64,55,1,3.74
